normalized_name,normalized_version,normalized_author,skillhub_candidates,openclawmp_candidates,skillhub_slug,skillhub_name,skillhub_version,skillhub_owner,skillhub_homepage,skillhub_downloads,skillhub_installs,skillhub_stars,openclawmp_id,openclawmp_name,openclawmp_display_name,openclawmp_version,openclawmp_author,openclawmp_asset_url,openclawmp_installs,openclawmp_total_stars,openclawmp_github_stars
delegation,0.1.0,michaelmonetized,1,1,delegation,Delegation,0.1.0,michaelmonetized,https://clawhub.ai/michaelmonetized/delegation,1192,47,2,s-7255bca4e002bc1a,delegation,Delegation,0.1.0,michaelmonetized,https://openclawmp.cc/api/v1/assets/s-7255bca4e002bc1a,0,0,0
deslop,1.0.0,brennerspear,1,1,deslop,Deslop,1.0.0,brennerspear,https://clawhub.ai/brennerspear/deslop,284,12,0,s-40babee5efe7192c,deslop,Deslop,1.0.0,brennerspear,https://openclawmp.cc/api/v1/assets/s-40babee5efe7192c,0,0,0
deso-research,1.0.0,mtple,1,1,deso-research,deso-research,1.0.0,mtple,https://clawhub.ai/mtple/deso-research,775,9,2,s-a2a7fcc3b1a4946d,deso-research,Deso Research,1.0.0,mtple,https://openclawmp.cc/api/v1/assets/s-a2a7fcc3b1a4946d,3,0,0
devrev,1.0.0,nimit2801,1,1,devrev,DevRev,1.0.0,nimit2801,https://clawhub.ai/nimit2801/devrev,362,5,0,s-53ae6c94bd3c9139,devrev,DevRev,1.0.0,nimit2801,https://openclawmp.cc/api/v1/assets/s-53ae6c94bd3c9139,0,0,0
devtopia,1.0.1,npmrunspirit,1,1,devtopia,Devtopia,1.0.1,npmrunspirit,https://clawhub.ai/npmrunspirit/devtopia,585,5,0,s-6f8553832e93dfc0,devtopia,Devtopia,1.0.1,npmrunspirit,https://openclawmp.cc/api/v1/assets/s-6f8553832e93dfc0,0,0,0
dianping-query,1.0.0,guogang1024,1,1,dianping-query,Dianping-query,1.0.0,guogang1024,https://clawhub.ai/guogang1024/dianping-query,1712,44,0,s-ecb10f3b63da6ad1,dianping-query,Dianping-query,1.0.0,guogang1024,https://openclawmp.cc/api/v1/assets/s-ecb10f3b63da6ad1,2,1,0
digitalocean,1.0.0,rexlunae,1,1,digitalocean,DigitalOcean,1.0.0,rexlunae,https://clawhub.ai/rexlunae/digitalocean,845,12,2,s-08ab96ffcfb53418,digitalocean,DigitalOcean,1.0.0,rexlunae,https://openclawmp.cc/api/v1/assets/s-08ab96ffcfb53418,0,0,0
docling,1.0.2,er3mit4,1,1,docling,Docling,1.0.2,er3mit4,https://clawhub.ai/er3mit4/docling,994,128,0,s-6c32ee892e2c08b8,docling,Docling,1.0.2,er3mit4,https://openclawmp.cc/api/v1/assets/s-6c32ee892e2c08b8,0,0,0
ds160-autofill,1.0.0,clulessboy,1,1,ds160-autofill,ds160-autofill,1.0.0,clulessboy,https://clawhub.ai/clulessboy/ds160-autofill,930,25,0,s-f2b265cb28439756,ds160-autofill,Ds160 Autofill,1.0.0,clulessboy,https://openclawmp.cc/api/v1/assets/s-f2b265cb28439756,0,0,0
dungeons-and-lobsters,1.0.0,d-l-leapyear,1,1,dungeons-and-lobsters,dungeons-and-lobsters,1.0.0,d-l-leapyear,https://clawhub.ai/d-l-leapyear/dungeons-and-lobsters,1610,69,1,s-97f8ead52e623e2c,dungeons-and-lobsters,Dungeons And Lobsters,1.0.0,d-l-leapyear,https://openclawmp.cc/api/v1/assets/s-97f8ead52e623e2c,1,0,0
dupe,1.0.0,crisanmm,1,1,dupe,Dupe,1.0.0,crisanmm,https://clawhub.ai/crisanmm/dupe,717,11,4,s-31b87449fa8fb51e,dupe,Dupe,1.0.0,crisanmm,https://openclawmp.cc/api/v1/assets/s-31b87449fa8fb51e,0,0,0
eightctl,1.0.0,steipete,1,1,eightctl,Eightctl,1.0.0,steipete,https://clawhub.ai/steipete/eightctl,7204,1578,6,s-637492e23ab9c664,eightctl,八控,1.0.0,steipete,https://openclawmp.cc/api/v1/assets/s-637492e23ab9c664,2,0,0
elliott-wave-principle,1.0.0,raeed44-creator,1,1,elliott-wave-principle,elliott-wave-principle,1.0.0,raeed44-creator,https://clawhub.ai/raeed44-creator/elliott-wave-principle,407,17,0,s-69fbcd98afc53c0a,elliott-wave-principle,Elliott Wave Principle,1.0.0,raeed44-creator,https://openclawmp.cc/api/v1/assets/s-69fbcd98afc53c0a,3,1,0
employee-skills-importer,1.0.0,inna-demidova,1,1,employee-skills-importer,employee-skills-importer,1.0.0,inna-demidova,https://clawhub.ai/inna-demidova/employee-skills-importer,442,9,0,s-fbc7ce863c0c4616,employee-skills-importer,Employee Skills Importer,1.0.0,inna-demidova,https://openclawmp.cc/api/v1/assets/s-fbc7ce863c0c4616,0,0,0
endpoints,1.0.0,adamkristopher,1,1,endpoints,Endpoints,1.0.0,adamkristopher,https://clawhub.ai/adamkristopher/endpoints,1697,23,1,s-8c0a27c18148e7cc,endpoints,Endpoints,1.0.0,adamkristopher,https://openclawmp.cc/api/v1/assets/s-8c0a27c18148e7cc,0,0,0
entradex,0.1.16,hieuhani,1,1,entradex,EntradeX,0.1.16,hieuhani,https://clawhub.ai/hieuhani/entradex,313,7,2,s-c34b1d4fae6f81da,entradex,EntradeX,0.1.16,hieuhani,https://openclawmp.cc/api/v1/assets/s-c34b1d4fae6f81da,2,0,0
envios,1.0.0,jalfargentina,1,1,envios,Envios,1.0.0,jalfargentina,https://clawhub.ai/jalfargentina/envios,384,7,0,s-0a63fb97b03eae09,envios,Envios,1.0.0,jalfargentina,https://openclawmp.cc/api/v1/assets/s-0a63fb97b03eae09,0,0,0
evoagentx,1.0.1,nantes,1,1,evoagentx,Evoagentx,1.0.1,nantes,https://clawhub.ai/nantes/evoagentx,410,17,0,s-578e48972560482a,evoagentx,Evoagentx,1.0.1,nantes,https://openclawmp.cc/api/v1/assets/s-578e48972560482a,0,0,0
ez-google,1.0.2,araa47,1,1,ez-google,ez-google,1.0.2,araa47,https://clawhub.ai/araa47/ez-google,2442,112,0,s-ff52b781a4c68c2a,ez-google,Ez Google,1.0.2,araa47,https://openclawmp.cc/api/v1/assets/s-ff52b781a4c68c2a,0,0,0
ezyhost,1.0.3,araratdev,1,1,ezyhost,EzyHost,1.0.3,araratdev,https://clawhub.ai/araratdev/ezyhost,525,13,0,s-931fedc5e5a668ff,ezyhost,EzyHost,1.0.3,araratdev,https://openclawmp.cc/api/v1/assets/s-931fedc5e5a668ff,1,0,0
farseek,1.0.0,farseek2020,1,1,farseek,Farseek,1.0.0,farseek2020,https://clawhub.ai/farseek2020/farseek,386,6,0,s-b573f2eed44ca14a,farseek,Farseek,1.0.0,farseek2020,https://openclawmp.cc/api/v1/assets/s-b573f2eed44ca14a,0,0,0
feed-diet,0.2.1,tkuehnl,1,1,feed-diet,feed-diet,0.2.1,tkuehnl,https://clawhub.ai/tkuehnl/feed-diet,408,5,0,s-62a02f430c4fddf3,feed-diet,Feed Diet,0.2.1,tkuehnl,https://openclawmp.cc/api/v1/assets/s-62a02f430c4fddf3,1,1,0
ffcli,1.0.1,ruigomeseu,1,1,ffcli,Ffcli,1.0.1,ruigomeseu,https://clawhub.ai/ruigomeseu/ffcli,575,10,2,s-e6ee6b7a8ecdf17c,ffcli,Ffcli,1.0.1,ruigomeseu,https://openclawmp.cc/api/v1/assets/s-e6ee6b7a8ecdf17c,2,0,0
file-repair-skill,1.0.6,ilpvc,1,1,file-repair-skill,file-repair-skill,1.0.6,ilpvc,https://clawhub.ai/ilpvc/file-repair-skill,1517,81,2,s-d09d04793487f79f,file-repair-skill,File Repair Skill,1.0.6,ilpvc,https://openclawmp.cc/api/v1/assets/s-d09d04793487f79f,3,1,0
filesystem,1.0.0,amaofx,1,1,filesystem,Filesystem,1.0.0,amaofx,https://clawhub.ai/amaofx/filesystem,7478,1115,4,s-98c3b742887fe9a6,filesystem,Filesystem,1.0.0,amaofx,https://openclawmp.cc/api/v1/assets/s-98c3b742887fe9a6,6,7,4
fin-cog,1.0.1,nitishgargiitd,1,1,fin-cog,fin-cog,1.0.1,nitishgargiitd,https://clawhub.ai/nitishgargiitd/fin-cog,1731,98,5,s-0debabb2e2ae280c,fin-cog,Fin Cog,1.0.1,nitishgargiitd,https://openclawmp.cc/api/v1/assets/s-0debabb2e2ae280c,3,6,5
find-products,1.0.0,xiazhefengzhi,1,1,find-products,find-products,1.0.0,xiazhefengzhi,https://clawhub.ai/xiazhefengzhi/find-products,1000,11,0,s-dc6b0fbbad022f6f,find-products,Find Products,1.0.0,xiazhefengzhi,https://openclawmp.cc/api/v1/assets/s-dc6b0fbbad022f6f,1,0,0
find-slills,1.0.0,rumengkai,1,1,find-slills,find-slills,1.0.0,rumengkai,https://clawhub.ai/rumengkai/find-slills,548,11,0,s-9fb6364368c0a558,find-slills,Find Slills,1.0.0,rumengkai,https://openclawmp.cc/api/v1/assets/s-9fb6364368c0a558,0,0,0
firmenbuchat,0.2.3,pasogott,1,1,firmenbuchat,firmenbuchat,0.2.3,pasogott,https://clawhub.ai/pasogott/firmenbuchat,1525,12,1,s-f6b36dc7f900b804,firmenbuchat,Firmenbuchat,0.2.3,pasogott,https://openclawmp.cc/api/v1/assets/s-f6b36dc7f900b804,1,0,0
flux,2.3.0,eckmantechllc,1,1,flux,Flux,2.3.0,eckmantechllc,https://clawhub.ai/eckmantechllc/flux,1088,51,2,s-46d27e5aaa384168,flux,Flux,2.3.0,eckmantechllc,https://openclawmp.cc/api/v1/assets/s-46d27e5aaa384168,1,0,0
forge,1.0.0,ikennaokpala,1,1,forge,Forge,1.0.0,ikennaokpala,https://clawhub.ai/ikennaokpala/forge,1107,20,0,s-b44f4f1b36d21386,forge,Forge,1.0.0,ikennaokpala,https://openclawmp.cc/api/v1/assets/s-b44f4f1b36d21386,0,0,0
forgejo,0.1.0,razzeee,1,1,forgejo,Forgejo,0.1.0,razzeee,https://clawhub.ai/razzeee/forgejo,854,5,0,s-6e47151476870d1e,forgejo,Forgejo,0.1.0,razzeee,https://openclawmp.cc/api/v1/assets/s-6e47151476870d1e,0,0,0
forkzoo,1.0.0,levi-law,2,1,forkzoo,ForkZoo,1.0.0,levi-law,https://clawhub.ai/levi-law/forkzoo,1372,13,0,s-b1bf04738cd4c16a,forkzoo,ForkZoo,1.0.0,levi-law,https://openclawmp.cc/api/v1/assets/s-b1bf04738cd4c16a,0,0,0
foxreach,0.1.1,concaption,1,1,foxreach,Foxreach,0.1.1,concaption,https://clawhub.ai/concaption/foxreach,467,6,0,s-4459e4ae79a4b094,foxreach,Foxreach,0.1.1,concaption,https://openclawmp.cc/api/v1/assets/s-4459e4ae79a4b094,0,0,0
frankenstein,1.2.0,rubenaquispe,1,1,frankenstein,Frankenstein,1.2.0,rubenaquispe,https://clawhub.ai/rubenaquispe/frankenstein,1145,15,4,s-3aeac48638853212,frankenstein,Frankenstein,1.2.0,rubenaquispe,https://openclawmp.cc/api/v1/assets/s-3aeac48638853212,1,0,0
frappecli,0.1.1,pasogott,1,1,frappecli,Frappecli,0.1.1,pasogott,https://clawhub.ai/pasogott/frappecli,1923,30,1,s-19b9ebdfd8cda61e,frappecli,Frappecli,0.1.1,pasogott,https://openclawmp.cc/api/v1/assets/s-19b9ebdfd8cda61e,1,1,1
fullbackup,0.1.0,trumppo,1,1,fullbackup,fullbackup,0.1.0,trumppo,https://clawhub.ai/trumppo/fullbackup,849,11,0,s-46b11072a7bcbbb3,fullbackup,Fullbackup,0.1.0,trumppo,https://openclawmp.cc/api/v1/assets/s-46b11072a7bcbbb3,1,0,0
geometry,1.0.0,geometrydotsh,1,1,geometry,Geometry,1.0.0,geometrydotsh,https://clawhub.ai/geometrydotsh/geometry,373,18,0,s-271c8819ceeb0cb2,geometry,Geometry,1.0.0,geometrydotsh,https://openclawmp.cc/api/v1/assets/s-271c8819ceeb0cb2,0,0,0
gina,0.1.0,kleberbaum,1,1,gina,gina,0.1.0,kleberbaum,https://clawhub.ai/kleberbaum/gina,392,8,0,s-9dbd3407b2a1ba94,gina,Gina,0.1.0,kleberbaum,https://openclawmp.cc/api/v1/assets/s-9dbd3407b2a1ba94,0,0,0
goalgetter,1.0.0,steffano198,1,1,goalgetter,GoalGetter,1.0.0,steffano198,https://clawhub.ai/steffano198/goalgetter,448,10,0,s-da3b618bf8bbba47,goalgetter,GoalGetter,1.0.0,steffano198,https://openclawmp.cc/api/v1/assets/s-da3b618bf8bbba47,6,1,0
gog,1.0.0,steipete,1,1,gog,Gog,1.0.0,steipete,https://clawhub.ai/steipete/gog,117194,2622,745,s-8a729b06ca75b108,gog,谷歌工作台,1.0.0,steipete,https://openclawmp.cc/api/v1/assets/s-8a729b06ca75b108,49,15,0
goldenseed,1.1.0,beanapologist,1,1,goldenseed,GoldenSeed,1.1.0,beanapologist,https://clawhub.ai/beanapologist/goldenseed,903,15,0,s-a872cbf6c9f5ea0c,goldenseed,GoldenSeed,1.1.0,beanapologist,https://openclawmp.cc/api/v1/assets/s-a872cbf6c9f5ea0c,0,0,0
gotrain,1.3.0,gumadeiras,1,1,gotrain,gotrain,1.3.0,gumadeiras,https://clawhub.ai/gumadeiras/gotrain,2398,222,1,s-d9741d778ce54305,gotrain,Gotrain,1.3.0,gumadeiras,https://openclawmp.cc/api/v1/assets/s-d9741d778ce54305,2,1,1
gradientdesires,1.2.0,drewangeloff,1,1,gradientdesires,GradientDesires,1.2.0,drewangeloff,https://clawhub.ai/drewangeloff/gradientdesires,451,6,0,s-b2a1ffa56a74c284,gradientdesires,GradientDesires,1.2.0,drewangeloff,https://openclawmp.cc/api/v1/assets/s-b2a1ffa56a74c284,0,0,0
greptile,1.0.1,iahmadzain,1,1,greptile,Greptile,1.0.1,iahmadzain,https://clawhub.ai/iahmadzain/greptile,496,21,0,s-165f9fba924ba33f,greptile,Greptile,1.0.1,iahmadzain,https://openclawmp.cc/api/v1/assets/s-165f9fba924ba33f,5,1,0
habib-pdf-to-json,1.0.0,dbmoradi60,1,1,habib-pdf-to-json,habib-pdf-to-json,1.0.0,dbmoradi60,https://clawhub.ai/dbmoradi60/habib-pdf-to-json,868,48,0,s-d9ffcb2d64931b4c,habib-pdf-to-json,Habib Pdf To Json,1.0.0,dbmoradi60,https://openclawmp.cc/api/v1/assets/s-d9ffcb2d64931b4c,0,0,0
habitchat,1.0.0,dinesh18s,1,1,habitchat,HabitChat,1.0.0,dinesh18s,https://clawhub.ai/dinesh18s/habitchat,431,11,0,s-ad0cdbb342be911a,habitchat,HabitChat,1.0.0,dinesh18s,https://openclawmp.cc/api/v1/assets/s-ad0cdbb342be911a,2,0,0
hackathon,1.0.6,swairshah,1,1,hackathon,Hackathon,1.0.6,swairshah,https://clawhub.ai/swairshah/hackathon,1003,2,0,s-ff944ea3611555f7,hackathon,Hackathon,1.0.6,swairshah,https://openclawmp.cc/api/v1/assets/s-ff944ea3611555f7,2,0,0
hackmd,1.0.0,nulltea,1,1,hackmd,HackMD,1.0.0,nulltea,https://clawhub.ai/nulltea/hackmd,792,10,0,s-e1f6e577d7e35b55,hackmd,HackMD,1.0.0,nulltea,https://openclawmp.cc/api/v1/assets/s-e1f6e577d7e35b55,1,0,0
happenstance,1.0.0,dgoss28,1,1,happenstance,Happenstance,1.0.0,dgoss28,https://clawhub.ai/dgoss28/happenstance,429,4,8,s-e08adb16efb6d146,happenstance,Happenstance,1.0.0,dgoss28,https://openclawmp.cc/api/v1/assets/s-e08adb16efb6d146,1,0,0
health-sync,0.3.5,filipe-m-almeida,1,1,health-sync,health-sync,0.3.5,filipe-m-almeida,https://clawhub.ai/filipe-m-almeida/health-sync,656,8,0,s-e454af0441fb17ed,health-sync,Health Sync,0.3.5,filipe-m-almeida,https://openclawmp.cc/api/v1/assets/s-e454af0441fb17ed,0,0,0
himalaya,1.0.0,lamelas,1,1,himalaya,Himalaya,1.0.0,lamelas,https://clawhub.ai/lamelas/himalaya,28396,1123,50,s-b134a6c7f9468c56,himalaya,Himalaya,1.0.0,lamelas,https://openclawmp.cc/api/v1/assets/s-b134a6c7f9468c56,3,0,0
hxxra,1.2.0,cxlhyx,1,1,hxxra,hxxra,1.2.0,cxlhyx,https://clawhub.ai/cxlhyx/hxxra,916,22,2,s-7f25f06aee36fc6f,hxxra,Hxxra,1.2.0,cxlhyx,https://openclawmp.cc/api/v1/assets/s-7f25f06aee36fc6f,4,1,0
indexy,1.0.0,hsantana,1,1,indexy,Indexy,1.0.0,hsantana,https://clawhub.ai/hsantana/indexy,429,6,0,s-dbb517c020200521,indexy,Indexy,1.0.0,hsantana,https://openclawmp.cc/api/v1/assets/s-dbb517c020200521,1,0,0
intercom,1.0.3,tracsystems,1,1,intercom,Intercom,1.0.3,tracsystems,https://clawhub.ai/tracsystems/intercom,1570,74,4,s-52fa2f31004bc349,intercom,Intercom,1.0.3,tracsystems,https://openclawmp.cc/api/v1/assets/s-52fa2f31004bc349,0,4,4
iqdb,1.0.0,emanz1,1,1,iqdb,IQDB,1.0.0,emanz1,https://clawhub.ai/emanz1/iqdb,796,8,0,s-669c05fa731e60b1,iqdb,IQDB,1.0.0,emanz1,https://openclawmp.cc/api/v1/assets/s-669c05fa731e60b1,2,0,0
iserv,0.1.0,finnbusse,1,1,iserv,Iserv,0.1.0,finnbusse,https://clawhub.ai/finnbusse/iserv,862,7,0,s-64a55c3bb6296b8a,iserv,Iserv,0.1.0,finnbusse,https://openclawmp.cc/api/v1/assets/s-64a55c3bb6296b8a,0,0,0
jabrium,1.0.0,jabrium9-svg,1,1,jabrium,jabrium,1.0.0,jabrium9-svg,https://clawhub.ai/jabrium9-svg/jabrium,367,5,0,s-3c8af8906e89c837,jabrium,Jabrium,1.0.0,jabrium9-svg,https://openclawmp.cc/api/v1/assets/s-3c8af8906e89c837,0,0,0
jobs-ive,1.0.0,stubbi,1,1,jobs-ive,Jobs-Ive,1.0.0,stubbi,https://clawhub.ai/stubbi/jobs-ive,831,27,0,s-c0abc51bfe4707ed,jobs-ive,Jobs-Ive,1.0.0,stubbi,https://openclawmp.cc/api/v1/assets/s-c0abc51bfe4707ed,2,0,0
justpayai,1.0.0,nemanja-lootbox,1,1,justpayai,JustPayAI,1.0.0,nemanja-lootbox,https://clawhub.ai/nemanja-lootbox/justpayai,630,35,0,s-c7306793562edc40,justpayai,JustPayAI,1.0.0,nemanja-lootbox,https://openclawmp.cc/api/v1/assets/s-c7306793562edc40,1,0,0
kenoodl-synthesis,1.0.6,kenoodl-synthesis,1,1,kenoodl-synthesis,kenoodl-synthesis,1.0.6,kenoodl-synthesis,https://clawhub.ai/kenoodl-synthesis/kenoodl-synthesis,399,7,2,s-52c92bead03aa8b3,kenoodl-synthesis,Kenoodl Synthesis,1.0.6,kenoodl-synthesis,https://openclawmp.cc/api/v1/assets/s-52c92bead03aa8b3,0,2,2
kitchenowl,1.0.0,apetersson,1,1,kitchenowl,KitchenOwl,1.0.0,apetersson,https://clawhub.ai/apetersson/kitchenowl,395,4,0,s-4734cb82697b25de,kitchenowl,KitchenOwl,1.0.0,apetersson,https://openclawmp.cc/api/v1/assets/s-4734cb82697b25de,0,0,0
klausnomi,2.0.3,bezko,1,1,klausnomi,KlausNomi,2.0.3,bezko,https://clawhub.ai/bezko/klausnomi,390,5,0,s-6803392cb35684ae,klausnomi,KlausNomi,2.0.3,bezko,https://openclawmp.cc/api/v1/assets/s-6803392cb35684ae,0,0,0
klientenportal,1.5.1,odrobnik,1,1,klientenportal,Klientenportal,1.5.1,odrobnik,https://clawhub.ai/odrobnik/klientenportal,693,10,0,s-5a125dfe4930246d,klientenportal,Klientenportal,1.5.1,odrobnik,https://openclawmp.cc/api/v1/assets/s-5a125dfe4930246d,3,0,0
landing-page-roast,1.0.1,xammarie,1,1,landing-page-roast,landing-page-roast,1.0.1,xammarie,https://clawhub.ai/xammarie/landing-page-roast,720,11,0,s-789a6991b5ec3d69,landing-page-roast,Landing Page Roast,1.0.1,xammarie,https://openclawmp.cc/api/v1/assets/s-789a6991b5ec3d69,2,0,0
lastxdays,1.0.2,levineam,1,1,lastxdays,lastXdays,1.0.2,levineam,https://clawhub.ai/levineam/lastxdays,459,9,0,s-def1349ba13bde79,lastxdays,lastXdays,1.0.2,levineam,https://openclawmp.cc/api/v1/assets/s-def1349ba13bde79,0,0,0
lattice,1.2.1,cnf6682,1,1,lattice,Lattice,1.2.1,cnf6682,https://clawhub.ai/cnf6682/lattice,515,6,2,s-ec4953ac7c4f39c0,lattice,Lattice,1.2.1,cnf6682,https://openclawmp.cc/api/v1/assets/s-ec4953ac7c4f39c0,0,0,0
leetify,1.0.4,damirikys,1,1,leetify,Leetify,1.0.4,damirikys,https://clawhub.ai/damirikys/leetify,380,8,0,s-9ed36d790bb25fdf,leetify,Leetify,1.0.4,damirikys,https://openclawmp.cc/api/v1/assets/s-9ed36d790bb25fdf,1,0,0
legal-cog,1.0.0,nitishgargiitd,1,1,legal-cog,legal-cog,1.0.0,nitishgargiitd,https://clawhub.ai/nitishgargiitd/legal-cog,543,21,3,s-68c400948ac6192b,legal-cog,Legal Cog,1.0.0,nitishgargiitd,https://openclawmp.cc/api/v1/assets/s-68c400948ac6192b,4,1,0
linkswarm,1.0.0,heyw00d,1,1,linkswarm,LinkSwarm,1.0.0,heyw00d,https://clawhub.ai/heyw00d/linkswarm,930,23,2,s-9e195d1ff723808d,linkswarm,LinkSwarm,1.0.0,heyw00d,https://openclawmp.cc/api/v1/assets/s-9e195d1ff723808d,2,0,0
lnd,1.0.1,roasbeef,1,1,lnd,Lnd,1.0.1,roasbeef,https://clawhub.ai/roasbeef/lnd,845,15,0,s-84274722d37ff59c,lnd,Lnd,1.0.1,roasbeef,https://openclawmp.cc/api/v1/assets/s-84274722d37ff59c,3,0,0
lnemail,1.0.1,lnemail,1,1,lnemail,LNemail,1.0.1,lnemail,https://clawhub.ai/lnemail/lnemail,378,12,0,s-3ad47d2fbc01682a,lnemail,LNemail,1.0.1,lnemail,https://openclawmp.cc/api/v1/assets/s-3ad47d2fbc01682a,0,0,0
loadpage,1.0.0,jazzyong2023,1,1,loadpage,loadpage,1.0.0,jazzyong2023,https://clawhub.ai/jazzyong2023/loadpage,1375,29,2,s-95e09a38e6371a11,loadpage,Loadpage,1.0.0,jazzyong2023,https://openclawmp.cc/api/v1/assets/s-95e09a38e6371a11,2,3,2
loopwind,0.25.11,tomtev,1,1,loopwind,Loopwind,0.25.11,tomtev,https://clawhub.ai/tomtev/loopwind,461,17,0,s-9b00188708c30e98,loopwind,Loopwind,0.25.11,tomtev,https://openclawmp.cc/api/v1/assets/s-9b00188708c30e98,0,0,0
mac-clean-skill,1.0.0,aadipapp,1,1,mac-clean-skill,mac-clean-skill,1.0.0,aadipapp,https://clawhub.ai/aadipapp/mac-clean-skill,756,10,0,s-5489b47d5bcdfdd3,mac-clean-skill,Mac Clean Skill,1.0.0,aadipapp,https://openclawmp.cc/api/v1/assets/s-5489b47d5bcdfdd3,2,1,0
mac-node-snapshot,1.0.0,taozhe6,1,1,mac-node-snapshot,mac-node-snapshot,1.0.0,taozhe6,https://clawhub.ai/taozhe6/mac-node-snapshot,984,20,0,s-b2304515e3b0f76a,mac-node-snapshot,Mac Node Snapshot,1.0.0,taozhe6,https://openclawmp.cc/api/v1/assets/s-b2304515e3b0f76a,2,1,0
makex,1.0.0,tkejr,1,1,makex,MakeX,1.0.0,tkejr,https://clawhub.ai/tkejr/makex,386,3,0,s-b9f124c3dd959542,makex,MakeX,1.0.0,tkejr,https://openclawmp.cc/api/v1/assets/s-b9f124c3dd959542,1,0,0
marine-watch-planner,1.0.0,vladmatys,1,1,marine-watch-planner,marine-watch-planner,1.0.0,vladmatys,https://clawhub.ai/vladmatys/marine-watch-planner,240,3,0,s-c8566cd08fa7c863,marine-watch-planner,Marine Watch Planner,1.0.0,vladmatys,https://openclawmp.cc/api/v1/assets/s-c8566cd08fa7c863,0,0,0
market-structure,1.0.0,dromlakhani,1,1,market-structure,market-structure,1.0.0,dromlakhani,https://clawhub.ai/dromlakhani/market-structure,385,9,2,s-c154c1241bfb61f0,market-structure,Market Structure,1.0.0,dromlakhani,https://openclawmp.cc/api/v1/assets/s-c154c1241bfb61f0,0,0,0
maven-central-publish,1.0.0,misakiga,1,1,maven-central-publish,maven-central-publish,1.0.0,misakiga,https://clawhub.ai/misakiga/maven-central-publish,467,7,0,s-42d6457003991f3d,maven-central-publish,Maven Central Publish,1.0.0,misakiga,https://openclawmp.cc/api/v1/assets/s-42d6457003991f3d,0,0,0
mdnew,1.0.0,thendcn,1,1,mdnew,Mdnew,1.0.0,thendcn,https://clawhub.ai/thendcn/mdnew,465,7,0,s-b1df0ec163f02334,mdnew,Mdnew,1.0.0,thendcn,https://openclawmp.cc/api/v1/assets/s-b1df0ec163f02334,1,0,0
memos,0.1.1,fty4,1,1,memos,Memos,0.1.1,fty4,https://clawhub.ai/fty4/memos,1548,89,3,s-3c48ce8b91fd9d19,memos,Memos,0.1.1,fty4,https://openclawmp.cc/api/v1/assets/s-3c48ce8b91fd9d19,0,3,3
menuvision,1.0.1,ademczuk,1,1,menuvision,MenuVision,1.0.1,ademczuk,https://clawhub.ai/ademczuk/menuvision,336,16,0,s-a9ed53a795a90870,menuvision,MenuVision,1.0.1,ademczuk,https://openclawmp.cc/api/v1/assets/s-a9ed53a795a90870,0,0,0
micro-offer-forge,1.0.1,xammarie,1,1,micro-offer-forge,micro-offer-forge,1.0.1,xammarie,https://clawhub.ai/xammarie/micro-offer-forge,429,7,4,s-102fbca6db7f87e6,micro-offer-forge,Micro Offer Forge,1.0.1,xammarie,https://openclawmp.cc/api/v1/assets/s-102fbca6db7f87e6,0,0,0
migma,1.3.0,adamsey,1,1,migma,Migma,1.3.0,adamsey,https://clawhub.ai/adamsey/migma,484,4,0,s-bd28ae582e8e25ed,migma,Migma,1.3.0,adamsey,https://openclawmp.cc/api/v1/assets/s-bd28ae582e8e25ed,2,0,0
miso,0.1.3,shunsukehayashi,1,1,miso,miso,0.1.3,shunsukehayashi,https://clawhub.ai/shunsukehayashi/miso,557,6,0,s-05a42f1cbab585de,miso,Miso,0.1.3,shunsukehayashi,https://openclawmp.cc/api/v1/assets/s-05a42f1cbab585de,0,0,0
mo-test-1,1.0.0,moyu0032,1,1,mo-test-1,mo-test-1,1.0.0,moyu0032,https://clawhub.ai/moyu0032/mo-test-1,507,3,0,s-a62af48dc57c806e,mo-test-1,Mo Test 1,1.0.0,moyu0032,https://openclawmp.cc/api/v1/assets/s-a62af48dc57c806e,0,0,0
mo-test-2,1.0.2,moyu0032,1,1,mo-test-2,mo-test-2,1.0.2,moyu0032,https://clawhub.ai/moyu0032/mo-test-2,345,5,0,s-b725f8f5ad5d70f2,mo-test-2,Mo Test 2,1.0.2,moyu0032,https://openclawmp.cc/api/v1/assets/s-b725f8f5ad5d70f2,1,0,0
modelready,1.0.0,carol-gutianle,1,1,modelready,ModelReady,1.0.0,carol-gutianle,https://clawhub.ai/carol-gutianle/modelready,1101,10,0,s-525f8d86d6304689,modelready,ModelReady,1.0.0,carol-gutianle,https://openclawmp.cc/api/v1/assets/s-525f8d86d6304689,0,0,0
moldium,1.0.10,zyom45,1,1,moldium,Moldium,1.0.10,zyom45,https://clawhub.ai/zyom45/moldium,444,17,0,s-025c458beffde15c,moldium,Moldium,1.0.10,zyom45,https://openclawmp.cc/api/v1/assets/s-025c458beffde15c,1,0,0
moltlang,1.0.0,eduarddriessen1,1,1,moltlang,moltlang,1.0.0,eduarddriessen1,https://clawhub.ai/eduarddriessen1/moltlang,1728,12,2,s-d3e2bdeee8f0a6e7,moltlang,Moltlang,1.0.0,eduarddriessen1,https://openclawmp.cc/api/v1/assets/s-d3e2bdeee8f0a6e7,1,2,2
