normalized_name,skillhub_candidates,openclawmp_candidates,skillhub_slug,skillhub_name,skillhub_version,skillhub_downloads,skillhub_installs,skillhub_stars,skillhub_owner,openclawmp_id,openclawmp_name,openclawmp_display_name,openclawmp_version,openclawmp_installs,openclawmp_total_stars,openclawmp_github_stars,openclawmp_author
envios,1,1,envios,Envios,1.0.0,384,7,0,jalfargentina,s-0a63fb97b03eae09,envios,Envios,1.0.0,0,0,0,jalfargentina
evoagentx,1,1,evoagentx,Evoagentx,1.0.1,410,17,0,nantes,s-578e48972560482a,evoagentx,Evoagentx,1.0.1,0,0,0,nantes
exchange2010,1,1,exchange2010,Exchange2010,1.0.0,1018,20,0,pes0,s-f236c4ca877870bc,exchange2010,Exchange2010,1.0.0,0,0,0,tree
ez-google,1,1,ez-google,ez-google,1.0.2,2442,112,0,araa47,s-ff52b781a4c68c2a,ez-google,Ez Google,1.0.2,0,0,0,araa47
ezyhost,1,1,ezyhost,EzyHost,1.0.3,525,13,0,araratdev,s-931fedc5e5a668ff,ezyhost,EzyHost,1.0.3,1,0,0,araratdev
facebook,1,1,facebook,Facebook,1.0.1,3346,242,5,codedao12,s-35a569902cc0cb75,facebook,Facebook,1.0.0,0,0,0,tree
farseek,1,1,farseek,Farseek,1.0.0,386,6,0,farseek2020,s-b573f2eed44ca14a,farseek,Farseek,1.0.0,0,0,0,farseek2020
fathom,3,1,fathom-api,Fathom,1.0.5,15514,11,12,byungkyu,s-4d5b74f5ed490dd9,fathom,Fathom,1.0.0,0,0,0,tree
feed-diet,1,1,feed-diet,feed-diet,0.2.1,408,5,0,tkuehnl,s-62a02f430c4fddf3,feed-diet,Feed Diet,0.2.1,1,1,0,tkuehnl
feishui-file-sender,1,1,feishui-file-sender,feishui-file-sender,1.0.0,337,20,0,josephyb97,s-77c49983b40bc437,feishui-file-sender,Feishui File Sender,1.0.0,0,0,0,tree
ffcli,1,1,ffcli,Ffcli,1.0.1,575,10,2,ruigomeseu,s-e6ee6b7a8ecdf17c,ffcli,Ffcli,1.0.1,2,0,0,ruigomeseu
file-repair-skill,1,1,file-repair-skill,file-repair-skill,1.0.6,1517,81,2,ilpvc,s-d09d04793487f79f,file-repair-skill,File Repair Skill,1.0.6,3,1,0,ilpvc
filesystem,1,1,filesystem,Filesystem,1.0.0,7478,1115,4,amaofx,s-98c3b742887fe9a6,filesystem,Filesystem,1.0.0,6,7,4,amaofx
fin-cog,1,1,fin-cog,fin-cog,1.0.1,1731,98,5,nitishgargiitd,s-0debabb2e2ae280c,fin-cog,Fin Cog,1.0.1,3,6,5,nitishgargiitd
find-products,1,1,find-products,find-products,1.0.0,1000,11,0,xiazhefengzhi,s-dc6b0fbbad022f6f,find-products,Find Products,1.0.0,1,0,0,xiazhefengzhi
find-skills,1,1,find-skills1,find-skills,1.0.0,138,11,0,cp33333333333,s-db6bcbc26d0ee5f5,find-skills,Find Skills,1.0.0,211,53,0,jyj545
find-slills,1,1,find-slills,find-slills,1.0.0,548,11,0,rumengkai,s-9fb6364368c0a558,find-slills,Find Slills,1.0.0,0,0,0,rumengkai
firecrawl,1,1,firecrawl-api,Firecrawl,1.0.0,212,11,0,byungkyu,s-4295b2ae265c2ae3,firecrawl,firecrawl,1.0.0,0,0,0,jyj545
firmenbuchat,1,1,firmenbuchat,firmenbuchat,0.2.3,1525,12,1,pasogott,s-f6b36dc7f900b804,firmenbuchat,Firmenbuchat,0.2.3,1,0,0,pasogott
fitbit,1,1,fitbit,Fitbit,0.1.0,2108,92,2,mjrussell,s-4d63f92467a537c4,fitbit,Fitbit,1.0.0,0,0,0,tree
fleet,1,1,fleet,fleet,3.0.4,444,5,2,oguzhnatly,s-8e6a1cd19e92095d,fleet,Fleet,1.0.0,0,2,2,tree
flux,1,1,flux,Flux,2.3.0,1088,51,2,eckmantechllc,s-46d27e5aaa384168,flux,Flux,2.3.0,1,0,0,eckmantechllc
focusnoteapp,1,1,focusnoteapp,focusnoteapp,1.0.0,758,25,0,trongnguyen29,s-56d98fd655b9cfb2,focusnoteapp,Focusnoteapp,1.0.0,0,0,0,tree
forge,1,1,forge,Forge,1.0.0,1107,20,0,ikennaokpala,s-b44f4f1b36d21386,forge,Forge,1.0.0,0,0,0,ikennaokpala
forgejo,1,1,forgejo,Forgejo,0.1.0,854,5,0,razzeee,s-6e47151476870d1e,forgejo,Forgejo,0.1.0,0,0,0,razzeee
forkzoo,2,1,forkzoo,ForkZoo,1.0.0,1372,13,0,levi-law,s-b1bf04738cd4c16a,forkzoo,ForkZoo,1.0.0,0,0,0,levi-law
foxreach,1,1,foxreach,Foxreach,0.1.1,467,6,0,concaption,s-4459e4ae79a4b094,foxreach,Foxreach,0.1.1,0,0,0,concaption
frankenstein,1,1,frankenstein,Frankenstein,1.2.0,1145,15,4,rubenaquispe,s-3aeac48638853212,frankenstein,Frankenstein,1.2.0,1,0,0,rubenaquispe
frappecli,1,1,frappecli,Frappecli,0.1.1,1923,30,1,pasogott,s-19b9ebdfd8cda61e,frappecli,Frappecli,0.1.1,1,1,1,pasogott
freepik,1,1,freepik,Freepik,1.0.5,627,23,2,cohnen,s-15d1d3fab39002af,freepik,Freepik,1.0.0,0,0,0,tree
fullbackup,1,1,fullbackup,fullbackup,0.1.0,849,11,0,trumppo,s-46b11072a7bcbbb3,fullbackup,Fullbackup,0.1.0,1,0,0,trumppo
gamma,1,1,gamma,Gamma,1.0.0,3358,382,3,lucassynnott,s-37881a53e0fd3e0c,gamma,Gamma,1.0.0,1,1,0,stopmoclay
garmer,1,1,garmer,Garmer,1.0.2,1812,29,0,garrza,s-81550c0e46ba792a,garmer,Garmer,1.0.0,0,0,0,tree
geo,1,1,geo,GEO,1.0.0,526,27,2,ivangdavila,s-45e2dbe6ee985713,geo,geo,1.0.0,6,1,0,tom-agent
geometry,1,1,geometry,Geometry,1.0.0,373,18,0,geometrydotsh,s-271c8819ceeb0cb2,geometry,Geometry,1.0.0,0,0,0,geometrydotsh
gifhorse,1,1,gifhorse,GifHorse,1.2.0,2206,161,1,coyote-git,s-649a3ae9c9f15d74,gifhorse,Gifhorse,1.0.0,0,0,0,tree
gina,1,1,gina,gina,0.1.0,392,8,0,kleberbaum,s-9dbd3407b2a1ba94,gina,Gina,0.1.0,0,0,0,kleberbaum
gitbackup,1,1,gitbackup,gitbackup,0.1.0,862,11,0,trumppo,s-7d0fa7c9de160cdb,gitbackup,Gitbackup,1.0.0,0,0,0,tree
github,5,1,github,Github,1.0.0,114411,3025,376,steipete,s-32c05372db01f4b0,github,GitHub,1.0.0,25,8,0,617120025
glm-web-search,1,1,glm-web-search,glm-web-search,1.0.6,972,59,0,thincher,s-d219575a2e3b0b58,glm-web-search,GLM联网搜索,2.1.0,112,29,0,woyouyitouchenfeijv
goalgetter,1,1,goalgetter,GoalGetter,1.0.0,448,10,0,steffano198,s-da3b618bf8bbba47,goalgetter,GoalGetter,1.0.0,6,1,0,steffano198
gog,1,1,gog,Gog,1.0.0,117194,2622,745,steipete,s-8a729b06ca75b108,gog,谷歌工作台,1.0.0,49,15,0,steipete
goldenseed,1,1,goldenseed,GoldenSeed,1.1.0,903,15,0,beanapologist,s-a872cbf6c9f5ea0c,goldenseed,GoldenSeed,1.1.0,0,0,0,beanapologist
google-search,1,1,google-search,google-search,1.0.0,11799,1237,13,mxfeinberg,s-f03159f5452dad39,google-search,google-search,1.0.0,1,1,0,jyj545
gotify,1,1,gotify,Gotify,1.0.1,2338,105,1,jmagar,s-cb57fef764939bde,gotify,Gotify,1.0.0,0,0,0,tree
gotrain,1,1,gotrain,gotrain,1.3.0,2398,222,1,gumadeiras,s-d9741d778ce54305,gotrain,Gotrain,1.3.0,2,1,1,gumadeiras
gradientdesires,2,1,gradientdesires,GradientDesires,1.2.0,451,6,0,drewangeloff,s-b2a1ffa56a74c284,gradientdesires,GradientDesires,1.2.0,0,0,0,drewangeloff
greptile,1,1,greptile,Greptile,1.0.1,496,21,0,iahmadzain,s-165f9fba924ba33f,greptile,Greptile,1.0.1,5,1,0,iahmadzain
gsd,1,1,glittercowboy,gsd,1.0.0,534,17,3,oleg-schmidt,s-6c77f3ecc75d3ea6,gsd,gsd-by-glittercowboy,1.0.1,5,0,0,oleg-schmidt
habib-pdf-to-json,1,1,habib-pdf-to-json,habib-pdf-to-json,1.0.0,868,48,0,dbmoradi60,s-d9ffcb2d64931b4c,habib-pdf-to-json,Habib Pdf To Json,1.0.0,0,0,0,dbmoradi60
habitchat,1,1,habitchat,HabitChat,1.0.0,431,11,0,dinesh18s,s-ad0cdbb342be911a,habitchat,HabitChat,1.0.0,2,0,0,dinesh18s
hackathon,2,1,aegis-security-hackathon,Hackathon,1.0.0,1076,5,0,swiftadviser,s-ff944ea3611555f7,hackathon,Hackathon,1.0.6,2,0,0,swairshah
hackmd,1,1,hackmd,HackMD,1.0.0,792,10,0,nulltea,s-e1f6e577d7e35b55,hackmd,HackMD,1.0.0,1,0,0,nulltea
happenstance,1,1,happenstance,Happenstance,1.0.0,429,4,8,dgoss28,s-e08adb16efb6d146,happenstance,Happenstance,1.0.0,1,0,0,dgoss28
health-sync,1,1,health-sync,health-sync,0.3.5,656,8,0,filipe-m-almeida,s-e454af0441fb17ed,health-sync,Health Sync,0.3.5,0,0,0,filipe-m-almeida
hello-world-skill,1,2,hello-world-skill,hello-world-skill,1.0.0,148,3,0,aahuaxu,s-ec304b5b07ca0756,hello-world-skill,hello-world-skill,1.0.0,2,0,0,webber
himalaya,1,1,himalaya,Himalaya,1.0.0,28396,1123,50,lamelas,s-b134a6c7f9468c56,himalaya,Himalaya,1.0.0,3,0,0,lamelas
homebrew,1,1,brew,Homebrew,1.0.0,79,7,0,weichengwu,s-6fc168fb4ce190a6,homebrew,Homebrew Package Manager,1.0.1,1,1,1,thesethrose
homey,1,1,homey,Homey,1.1.2,2590,101,3,maxsumrall,s-187e99c66e2eed8e,homey,Homey,1.0.0,0,0,0,tree
huckleberry,2,1,huckleberry,Huckleberry,1.0.1,1738,19,1,jayhickey,s-cee339c3d1b072e7,huckleberry,Huckleberry,1.0.0,0,0,0,tree
humanizer,6,1,humanizer,Humanizer,1.0.0,58184,894,418,biostartechnology,s-7e817fb6a17243bd,humanizer,humanizer,1.0.0,1,0,0,jyj545
humanizer-zh,1,1,humanizer-zh,humanizer-zh,1.0.0,7241,1921,10,liuxy951129-cpu,s-a74dae8055cafe66,Humanizer-zh,Humanizer-zh,1.0.0,477,3156,3063,op7418
hxxra,1,1,hxxra,hxxra,1.2.0,916,22,2,cxlhyx,s-7f25f06aee36fc6f,hxxra,Hxxra,1.2.0,4,1,0,cxlhyx
hyperliquid,1,1,hyperliquid,Hyperliquid,1.0.0,2487,129,1,k0nkupa,s-19f0df84c7bd1262,hyperliquid,Hyperliquid,1.0.0,0,0,0,tree
idealista,1,1,idealista,Idealista,0.1.0,1659,15,1,quifago,s-7a7fc71ae6ed6de3,idealista,Idealista,1.0.0,0,1,1,tree
image,1,1,image,Image,1.0.4,11010,167,16,ivangdavila,s-5f019efa1b61c98f,image,Image,1.0.3,49,18,0,tom-agent
imap-smtp-email,1,1,imap-smtp-email,imap-smtp-email,0.0.10,29254,356,77,gzlicanyi,s-aff891f415d1a83a,imap-smtp-email,IMAP/SMTP �ʼ�����,1.0.0,37,14,0,Email Sender Bot
indexy,1,1,indexy,Indexy,1.0.0,429,6,0,hsantana,s-dbb517c020200521,indexy,Indexy,1.0.0,1,0,0,hsantana
init,1,1,solo-init,Init,2.1.1,345,3,0,fortunto2,s-c4f761a4e54e599d,init,Kradleverse:Init,0.1.0,1,0,0,themrzz
instagram-marketing,1,1,instagram-marketing,instagram-marketing,1.0.0,3890,485,9,skipzhang,s-57b0fa995fc48950,instagram-marketing,"Generate Instagram marketing content from product URLs. Extract product information and create engaging Instagram posts with image suggestions, captions, and hashtags optimized for engagement. Use when user provides a product URL from e-commerce sites like Amazon, Shopify, Taobao, etc. and wants Instagram marketing content such as Image/text post ideas, engaging captions with CTAs, hashtag strategy, or Story/reels content suggestions.",1.0.0,6,11,9,insight68
instreet,1,1,instreet,instreet,1.0.0,134,10,0,jiannei,s-6bf4f19356fb5c7f,instreet,instreet,2.1.0,7,2,0,DDDFXYqiming
intercom,2,1,intercom,Intercom,1.0.3,1570,74,4,tracsystems,s-52fa2f31004bc349,intercom,Intercom,1.0.3,0,4,4,tracsystems
iqdb,1,1,iqdb,IQDB,1.0.0,796,8,0,emanz1,s-669c05fa731e60b1,iqdb,IQDB,1.0.0,2,0,0,emanz1
iserv,1,1,iserv,Iserv,0.1.0,862,7,0,finnbusse,s-64a55c3bb6296b8a,iserv,Iserv,0.1.0,0,0,0,finnbusse
jabrium,1,1,jabrium,jabrium,1.0.0,367,5,0,jabrium9-svg,s-3c8af8906e89c837,jabrium,Jabrium,1.0.0,0,0,0,jabrium9-svg
jobs-ive,1,1,jobs-ive,Jobs-Ive,1.0.0,831,27,0,stubbi,s-c0abc51bfe4707ed,jobs-ive,Jobs-Ive,1.0.0,2,0,0,stubbi
justpayai,1,1,justpayai,JustPayAI,1.0.0,630,35,0,nemanja-lootbox,s-c7306793562edc40,justpayai,JustPayAI,1.0.0,1,0,0,nemanja-lootbox
jwdiario,1,1,jwdiario,Jwdiario,1.0.2,1645,53,1,djismgaming,s-421047601e39f224,jwdiario,Jwdiario,1.0.0,0,0,0,tree
kenoodl-synthesis,1,1,kenoodl-synthesis,kenoodl-synthesis,1.0.6,399,7,2,kenoodl-synthesis,s-52c92bead03aa8b3,kenoodl-synthesis,Kenoodl Synthesis,1.0.6,0,2,2,kenoodl-synthesis
kitchenowl,1,1,kitchenowl,KitchenOwl,1.0.0,395,4,0,apetersson,s-4734cb82697b25de,kitchenowl,KitchenOwl,1.0.0,0,0,0,apetersson
klausnomi,1,1,klausnomi,KlausNomi,2.0.3,390,5,0,bezko,s-6803392cb35684ae,klausnomi,KlausNomi,2.0.3,0,0,0,bezko
klientenportal,1,1,klientenportal,Klientenportal,1.5.1,693,10,0,odrobnik,s-5a125dfe4930246d,klientenportal,Klientenportal,1.5.1,3,0,0,odrobnik
klutch,1,1,klutch,Klutch,0.3.0,1553,20,1,kesslerio,s-d08b9680a8696fbb,klutch,Klutch,1.0.0,0,0,0,tree
kroger,1,1,kroger,kroger,1.0.0,471,4,0,tongyanli-hash,s-895832f93c845fc4,kroger,Kroger,1.0.0,0,0,0,tree
landing-page-roast,1,1,landing-page-roast,landing-page-roast,1.0.1,720,11,0,xammarie,s-789a6991b5ec3d69,landing-page-roast,Landing Page Roast,1.0.1,2,0,0,xammarie
lastxdays,1,1,lastxdays,lastXdays,1.0.2,459,9,0,levineam,s-def1349ba13bde79,lastxdays,lastXdays,1.0.2,0,0,0,levineam
lattice,2,1,lattice,Lattice,1.2.1,515,6,2,cnf6682,s-ec4953ac7c4f39c0,lattice,Lattice,1.2.1,0,0,0,cnf6682
leetify,1,1,leetify,Leetify,1.0.4,380,8,0,damirikys,s-9ed36d790bb25fdf,leetify,Leetify,1.0.4,1,0,0,damirikys
legal-cog,1,1,legal-cog,legal-cog,1.0.0,543,21,3,nitishgargiitd,s-68c400948ac6192b,legal-cog,Legal Cog,1.0.0,4,1,0,nitishgargiitd
legalfrance,1,1,legalfrance,LegalFrance,1.0.1,528,11,0,msgnoki,s-3e78d0c5d01d2593,legalfrance,Legalfrance,1.0.0,0,0,0,tree
linkdapi,1,1,linkdapi-official,LinkdAPI,1.0.0,100,5,0,ethcipher,s-e02fb165e64d2701,linkdapi,Linkedin API,1.0.0,0,0,0,foontinz
linkswarm,1,1,linkswarm,LinkSwarm,1.0.0,930,23,2,heyw00d,s-9e195d1ff723808d,linkswarm,LinkSwarm,1.0.0,2,0,0,heyw00d
listonic,1,1,listonic,Listonic,1.0.1,686,9,1,jeremymahieu,s-dc0c69c95a01d6c1,listonic,Listonic,1.0.0,0,1,1,jeremymahieu
lmfiles,1,1,lmfiles,LMFiles,1.0.2,320,3,0,setdemos,s-6baeef761c7e9e49,lmfiles,Lmfiles,1.0.0,0,0,0,tree
lnd,1,1,lnd,Lnd,1.0.1,845,15,0,roasbeef,s-84274722d37ff59c,lnd,Lnd,1.0.1,3,0,0,roasbeef
lnemail,1,1,lnemail,LNemail,1.0.1,378,12,0,lnemail,s-3ad47d2fbc01682a,lnemail,LNemail,1.0.1,0,0,0,lnemail
loadpage,1,1,loadpage,loadpage,1.0.0,1375,29,2,jazzyong2023,s-95e09a38e6371a11,loadpage,Loadpage,1.0.0,2,3,2,jazzyong2023
localsend,1,1,localsend,Localsend,3.4.0,440,4,0,chordlini,s-031d1e18579bd63f,localsend,Localsend,1.0.0,0,0,0,tree
loopwind,1,1,loopwind,Loopwind,0.25.11,461,17,0,tomtev,s-9b00188708c30e98,loopwind,Loopwind,0.25.11,0,0,0,tomtev
mac-clean-skill,1,1,mac-clean-skill,mac-clean-skill,1.0.0,756,10,0,aadipapp,s-5489b47d5bcdfdd3,mac-clean-skill,Mac Clean Skill,1.0.0,2,1,0,aadipapp
mac-node-snapshot,1,1,mac-node-snapshot,mac-node-snapshot,1.0.0,984,20,0,taozhe6,s-b2304515e3b0f76a,mac-node-snapshot,Mac Node Snapshot,1.0.0,2,1,0,taozhe6
makex,1,1,makex,MakeX,1.0.0,386,3,0,tkejr,s-b9f124c3dd959542,makex,MakeX,1.0.0,1,0,0,tkejr
marine-watch-planner,1,1,marine-watch-planner,marine-watch-planner,1.0.0,240,3,0,vladmatys,s-c8566cd08fa7c863,marine-watch-planner,Marine Watch Planner,1.0.0,0,0,0,vladmatys
market-structure,1,1,market-structure,market-structure,1.0.0,385,9,2,dromlakhani,s-c154c1241bfb61f0,market-structure,Market Structure,1.0.0,0,0,0,dromlakhani
marketing-ideas,1,1,marketing-ideas,marketing-ideas,1.0.0,499,41,0,alirezarezvani,s-4b663bfee40f8628,marketing-ideas,营销创意,1.3.0,5,11796,11794,coreyhaines31
marketing-psychology,1,1,marketing-psychology,marketing-psychology,1.0.0,364,23,0,alirezarezvani,s-6cdbfae3373b80c3,marketing-psychology,营销心理学,1.0.0,64,8867,8846,coreyhaines31
marktplaats,1,1,marktplaats,Marktplaats,0.3.0,1721,22,1,pvoo,s-077ed6c57522883a,marktplaats,Marktplaats,1.0.0,0,0,0,tree
maven-central-publish,1,1,maven-central-publish,maven-central-publish,1.0.0,467,7,0,misakiga,s-42d6457003991f3d,maven-central-publish,Maven Central Publish,1.0.0,0,0,0,misakiga
mcp-builder,2,1,mcp,mcp-builder,1.0.0,1782,143,1,veeramanikandanr48,s-1bb114fe39378573,mcp-builder,mcp-builder,1.0.0,5,2,0,jyj545
mdnew,1,1,mdnew,Mdnew,1.0.0,465,7,0,thendcn,s-b1df0ec163f02334,mdnew,Mdnew,1.0.0,1,0,0,thendcn
meetgeek,1,1,meetgeek,MeetGeek,1.0.1,1902,23,1,nexty5870,s-21612ebf19550542,meetgeek,Meetgeek,1.0.0,0,1,1,tree
memory-lancedb-pro,1,1,memory-lancedb-pro,memory-lancedb-pro,1.0.0,40,35,0,aaronx-hu,s-116a7affd2d0fd73,memory-lancedb-pro,🧠 memory-lancedb-pro Skill,1.0.0,4,1,0,jyj545
memos,2,1,memos,Memos,0.1.1,1548,89,3,fty4,s-3c48ce8b91fd9d19,memos,Memos,0.1.1,0,3,3,fty4
menuvision,1,1,menuvision,MenuVision,1.0.1,336,16,0,ademczuk,s-a9ed53a795a90870,menuvision,MenuVision,1.0.1,0,0,0,ademczuk
micro-offer-forge,1,1,micro-offer-forge,micro-offer-forge,1.0.1,429,7,4,xammarie,s-102fbca6db7f87e6,micro-offer-forge,Micro Offer Forge,1.0.1,0,0,0,xammarie
migma,1,1,migma,Migma,1.3.0,484,4,0,adamsey,s-bd28ae582e8e25ed,migma,Migma,1.3.0,2,0,0,adamsey
minara,1,1,minara,Minara,2.5.2,3125,450,108,lowesyang,s-8757892af7fd995c,minara,Minara,2.4.12,4,1,0,lowesyang
miso,1,1,miso,miso,0.1.3,557,6,0,shunsukehayashi,s-05a42f1cbab585de,miso,Miso,0.1.3,0,0,0,shunsukehayashi
mixpost,1,1,mixpost,Mixpost,1.0.0,3038,296,5,lao9s,s-7e8d0deaba0f3d1e,mixpost,Mixpost,1.0.0,0,0,0,tree
mo-test-1,1,1,mo-test-1,mo-test-1,1.0.0,507,3,0,moyu0032,s-a62af48dc57c806e,mo-test-1,Mo Test 1,1.0.0,0,0,0,moyu0032
mo-test-2,1,1,mo-test-2,mo-test-2,1.0.2,345,5,0,moyu0032,s-b725f8f5ad5d70f2,mo-test-2,Mo Test 2,1.0.2,1,0,0,moyu0032
mobilerun,1,1,mobile-run,Mobilerun,1.0.1,46,3,0,johnmalek312,s-0e54e6dd3413ba96,mobilerun,Mobilerun,1.0.14,1,0,0,johnmalek312
modelready,1,1,modelready,ModelReady,1.0.0,1101,10,0,carol-gutianle,s-525f8d86d6304689,modelready,ModelReady,1.0.0,0,0,0,carol-gutianle
moldium,1,1,moldium,Moldium,1.0.10,444,17,0,zyom45,s-025c458beffde15c,moldium,Moldium,1.0.10,1,0,0,zyom45
moltlang,1,1,moltlang,moltlang,1.0.0,1728,12,2,eduarddriessen1,s-d3e2bdeee8f0a6e7,moltlang,Moltlang,1.0.0,1,2,2,eduarddriessen1
moltoverflow,2,1,moltoverflow,MoltOverflow,1.0.6,2228,64,3,grenghis-khan,s-cb87397ad929d269,moltoverflow,MoltOverflow,1.0.6,1,0,0,grenghis-khan
moltpho,1,1,moltpho,Moltpho,0.1.5,2020,138,1,unifiedh,s-b4acbdad10d851eb,moltpho,Moltpho,1.0.0,0,0,0,tree
moltysmind,1,1,moltysmind,MoltysMind,1.0.0,1863,100,1,ahmedthegeek,s-a211d9a30ab56cda,moltysmind,MoltysMind,1.0.0,4,2,1,ahmedthegeek
momo,1,1,momo,momo,0.1.0,404,4,0,kleberbaum,s-85932003a8530282,momo,Momo,0.1.0,2,0,0,kleberbaum
moss,2,1,moss,Moss,1.0.3,658,10,1,coderomaster,s-9c26d7fb00652f24,moss,Moss,1.0.0,0,0,0,tree
mrscraper,1,1,mrscraper,MrScraper,1.0.4,428,5,2,ai-mrscraper,s-8b0963dbc6162c2a,mrscraper,MrScraper,1.0.4,1,3,2,ai-mrscraper
ms-todo-sync,1,1,ms-todo-sync,ms-todo-sync,1.0.2,1035,6,0,xiaoski,s-7620f2f4fc22cc2f,ms-todo-sync,Ms Todo Sync,1.0.0,0,0,0,tree
mt5-httpapi,1,1,mt5-httpapi,mt5-httpapi,1.1.0,919,12,3,psyb0t,s-05d391f78ce656a3,mt5-httpapi,Mt5 Httpapi,1.1.0,1,0,0,psyb0t
multi-factor-strategy,1,1,multi-factor-strategy,multi-factor-strategy,1.0.0,3301,221,1,wumu2013,s-50f3d131fe284e05,multi-factor-strategy,Multi Factor Strategy,1.0.0,0,0,0,wumu2013
multi-search-engine,2,1,multi-search-engine1,multi-search-engine,1.0.0,196,10,0,cp33333333333,s-feced9d3f9e309d8,multi-search-engine,multi-search-engine,1.0.0,34,4,0,jyj545
mycroft,1,1,mycroft,mycroft,1.0.2,417,5,2,fabe,s-c39e533b91fd0ee0,mycroft,Mycroft,1.0.0,0,0,0,tree
netlify,2,1,netlify,Netlify,1.0.0,2228,71,2,ajmwagar,s-92e2731fd25e8464,netlify,Netlify,1.0.0,3,2,2,mrgoodb
neverforget,1,1,neverforget,Neverforget,1.0.4,531,24,2,greatape42069,s-af480837ac5465f4,neverforget,Neverforget,1.0.0,0,2,2,tree
newsnow,2,1,newsnow,newsnow,1.0.0,781,13,10,sorrycc,s-979d58b6ddef1008,newsnow,Newsnow,1.0.0,0,0,0,sorrycc
ngamux,1,1,ngamux,Ngamux,0.1.1,420,3,0,hadihammurabi,s-663e47a08b732e31,ngamux,Ngamux,1.0.0,0,0,0,tree
nonopost,1,1,nonopost,Nonopost,1.0.1,1945,69,0,ferreirapablo,s-9f33f9ab3e57d954,nonopost,Nonopost,1.0.0,0,0,0,tree
notion,7,1,notion,Notion,1.0.0,57022,1682,190,steipete,s-b32721cfa30d4abe,notion,Notion,1.0.0,39,15,0,617120025
nova,1,1,nova,Nova,1.0.2,357,10,0,synthluvr,s-6836d7c367a13ac8,nova,新星,1.0.2,3,1,0,synthluvr
npkill,1,1,npkill,NPkill,1.0.1,1884,74,0,ashirbadgudu,s-08eeef8b9c9b1f0e,npkill,NPkill,1.0.1,1,1,0,ashirbadgudu
obsidian,2,1,obsidian,Obsidian,1.0.0,63918,2092,263,steipete,s-1115ccd936c0c20e,obsidian,Obsidian,1.0.0,25,8,0,617120025
officex,1,1,officex,OfficeX,1.0.0,306,25,0,mevdragon,s-ee6e0694dd1733be,officex,OfficeX,1.0.0,1,0,0,mevdragon
omarchy,1,1,omarchy,omarchy,0.1.1,568,6,0,achals-iglu,s-49f9f749a7718089,omarchy,Omarchy,0.1.1,0,0,0,achals-iglu
onboarding-cro,1,1,onboarding-cro,onboarding-cro,1.0.0,118,20,0,alirezarezvani,s-d10227a2307aa961,onboarding-cro,转化引导,1.3.0,4,11795,11794,coreyhaines31
ontopo,1,1,ontopo,ontopo,1.0.0,382,7,0,alexpolonsky,s-03d2865608b00bb9,ontopo,Ontopo,1.0.0,0,0,0,tree
openalexandria,1,1,openalexandria,OpenAlexandria,0.2.0,831,16,0,havneco,s-bfbdea96c216aaa1,openalexandria,OpenAlexandria,0.2.0,1,0,0,havneco
openbotcity,1,1,openbotcity,OpenBotCity,2.0.74,1912,24,4,vincentsider,s-aa5f3cb66940dea6,openbotcity,OpenBotCity,2.0.74,1,0,0,vincentsider
opencal,1,1,opencal,OpenCal,1.0.0,433,13,0,neikfu,s-1642d92807511dba,opencal,OpenCal,1.0.0,0,0,0,neikfu
openclaw 集中配置管理系统,1,1,openclaw-config-center,OpenClaw 集中配置管理系统,1.2.0,180,18,1,zoopools,s-4ecdf53242b788bd,OpenClaw 集中配置管理系统,OpenClaw 集中配置管理系统,1.2.0,14,4,0,whiteareas
openclaw-migration,1,1,openclaw-migration,openclaw-migration,1.0.0,1975,145,2,chenyuan99,s-e5f81e5f75b0c89e,openclaw-migration,OpenClaw 迁移搬家指南,1.2.0,6,2,0,xieyihaod
openclawmp,1,1,openclawmp,OpenClawMP,1.1.2,439,34,0,502399493zjw-lgtm,s-65623b82a16d719e,openclawmp,openclawmp,1.1.2,20512,166,0,钟经纬
opencode-controller,1,1,opencode-controller,Opencode-controller,1.0.0,13855,136,60,karatla,s-798fd7a96b54823c,opencode-controller,opencode-controller,1.0.0,0,0,0,jyj545
opencr-skill,1,1,opencr-skill,opencr-skill,0.1.4,573,16,0,topdu,s-0dd85a2720cc395e,opencr-skill,Opencr Skill,0.1.4,0,0,0,topdu
openfleet,1,1,openfleet,OpenFleet,1.0.0,502,8,2,serrato1,s-c8b748e4769a07cb,openfleet,OpenFleet,1.0.0,0,0,0,serrato1
opengfx,1,1,opengfx,OpenGFX,1.3.1,644,10,0,aklo360,s-ce0b599a6a3c5fc1,opengfx,OpenGFX,1.3.1,3,0,0,aklo360
openkrill,1,1,openkrill,openkrill,1.0.0,1303,18,1,emilankerwiik,s-305e3020514ca9a9,openkrill,Openkrill,1.0.0,0,0,0,emilankerwiik
openocr-skill,1,1,openocr-skill,openocr-skill,0.1.6,1218,35,0,topdu,s-666bba3463de3ad7,openocr-skill,Openocr Skill,1.0.0,0,0,0,tree
opensoulmd,1,1,opensoulmd,opensoulmd,1.0.1,469,12,0,danielliuzy,s-3bc6d786d3aa5e60,opensoulmd,Opensoulmd,1.0.1,1,0,0,danielliuzy
openvid,1,1,openvid,OpenVid,1.0.7,579,18,2,aklo360,s-23c65fabc85b428c,openvid,OpenVid,1.0.7,1,0,0,aklo360
