normalized_name,skillhub_slug,skillhub_name,skillhub_version,skillhub_downloads,openclawmp_id,openclawmp_name,openclawmp_version,openclawmp_installs
humanizer,humanizer-3,Humanizer,0.1.0,183,s-7e817fb6a17243bd,humanizer,1.0.0,1
humanizer,irisgo-humanizer,Humanizer,1.0.0,221,s-7e817fb6a17243bd,humanizer,1.0.0,1
humanizer,runesleo-humanizer,Humanizer,1.0.0,119,s-7e817fb6a17243bd,humanizer,1.0.0,1
humanizer-zh,humanizer-zh,humanizer-zh,1.0.0,7241,s-a74dae8055cafe66,Humanizer-zh,1.0.0,477
hxxra,hxxra,hxxra,1.2.0,916,s-7f25f06aee36fc6f,hxxra,1.2.0,4
hyperliquid,hyperliquid,Hyperliquid,1.0.0,2487,s-19f0df84c7bd1262,hyperliquid,1.0.0,0
idealista,idealista,Idealista,0.1.0,1659,s-7a7fc71ae6ed6de3,idealista,1.0.0,0
image,image,Image,1.0.4,11010,s-5f019efa1b61c98f,image,1.0.3,49
imap-smtp-email,imap-smtp-email,imap-smtp-email,0.0.10,29254,s-aff891f415d1a83a,imap-smtp-email,1.0.0,37
indexy,indexy,Indexy,1.0.0,429,s-dbb517c020200521,indexy,1.0.0,1
init,solo-init,Init,2.1.1,345,s-c4f761a4e54e599d,init,0.1.0,1
instagram-marketing,instagram-marketing,instagram-marketing,1.0.0,3890,s-57b0fa995fc48950,instagram-marketing,1.0.0,6
instreet,instreet,instreet,1.0.0,134,s-6bf4f19356fb5c7f,instreet,2.1.0,7
intercom,intercom,Intercom,1.0.3,1570,s-52fa2f31004bc349,intercom,1.0.3,0
intercom,intercom-integration,Intercom,1.0.0,130,s-52fa2f31004bc349,intercom,1.0.3,0
iqdb,iqdb,IQDB,1.0.0,796,s-669c05fa731e60b1,iqdb,1.0.0,2
iserv,iserv,Iserv,0.1.0,862,s-64a55c3bb6296b8a,iserv,0.1.0,0
jabrium,jabrium,jabrium,1.0.0,367,s-3c8af8906e89c837,jabrium,1.0.0,0
jobs-ive,jobs-ive,Jobs-Ive,1.0.0,831,s-c0abc51bfe4707ed,jobs-ive,1.0.0,2
justpayai,justpayai,JustPayAI,1.0.0,630,s-c7306793562edc40,justpayai,1.0.0,1
jwdiario,jwdiario,Jwdiario,1.0.2,1645,s-421047601e39f224,jwdiario,1.0.0,0
kenoodl-synthesis,kenoodl-synthesis,kenoodl-synthesis,1.0.6,399,s-52c92bead03aa8b3,kenoodl-synthesis,1.0.6,0
kitchenowl,kitchenowl,KitchenOwl,1.0.0,395,s-4734cb82697b25de,kitchenowl,1.0.0,0
klausnomi,klausnomi,KlausNomi,2.0.3,390,s-6803392cb35684ae,klausnomi,2.0.3,0
klientenportal,klientenportal,Klientenportal,1.5.1,693,s-5a125dfe4930246d,klientenportal,1.5.1,3
klutch,klutch,Klutch,0.3.0,1553,s-d08b9680a8696fbb,klutch,1.0.0,0
kroger,kroger,kroger,1.0.0,471,s-895832f93c845fc4,kroger,1.0.0,0
landing-page-roast,landing-page-roast,landing-page-roast,1.0.1,720,s-789a6991b5ec3d69,landing-page-roast,1.0.1,2
lastxdays,lastxdays,lastXdays,1.0.2,459,s-def1349ba13bde79,lastxdays,1.0.2,0
lattice,lattice,Lattice,1.2.1,515,s-ec4953ac7c4f39c0,lattice,1.2.1,0
lattice,lattice-integration,Lattice,1.0.0,57,s-ec4953ac7c4f39c0,lattice,1.2.1,0
leetify,leetify,Leetify,1.0.4,380,s-9ed36d790bb25fdf,leetify,1.0.4,1
legal-cog,legal-cog,legal-cog,1.0.0,543,s-68c400948ac6192b,legal-cog,1.0.0,4
legalfrance,legalfrance,LegalFrance,1.0.1,528,s-3e78d0c5d01d2593,legalfrance,1.0.0,0
linkdapi,linkdapi-official,LinkdAPI,1.0.0,100,s-e02fb165e64d2701,linkdapi,1.0.0,0
linkswarm,linkswarm,LinkSwarm,1.0.0,930,s-9e195d1ff723808d,linkswarm,1.0.0,2
listonic,listonic,Listonic,1.0.1,686,s-dc0c69c95a01d6c1,listonic,1.0.0,0
lmfiles,lmfiles,LMFiles,1.0.2,320,s-6baeef761c7e9e49,lmfiles,1.0.0,0
lnd,lnd,Lnd,1.0.1,845,s-84274722d37ff59c,lnd,1.0.1,3
lnemail,lnemail,LNemail,1.0.1,378,s-3ad47d2fbc01682a,lnemail,1.0.1,0
loadpage,loadpage,loadpage,1.0.0,1375,s-95e09a38e6371a11,loadpage,1.0.0,2
localsend,localsend,Localsend,3.4.0,440,s-031d1e18579bd63f,localsend,1.0.0,0
loopwind,loopwind,Loopwind,0.25.11,461,s-9b00188708c30e98,loopwind,0.25.11,0
mac-clean-skill,mac-clean-skill,mac-clean-skill,1.0.0,756,s-5489b47d5bcdfdd3,mac-clean-skill,1.0.0,2
mac-node-snapshot,mac-node-snapshot,mac-node-snapshot,1.0.0,984,s-b2304515e3b0f76a,mac-node-snapshot,1.0.0,2
makex,makex,MakeX,1.0.0,386,s-b9f124c3dd959542,makex,1.0.0,1
marine-watch-planner,marine-watch-planner,marine-watch-planner,1.0.0,240,s-c8566cd08fa7c863,marine-watch-planner,1.0.0,0
market-structure,market-structure,market-structure,1.0.0,385,s-c154c1241bfb61f0,market-structure,1.0.0,0
marketing-ideas,marketing-ideas,marketing-ideas,1.0.0,499,s-4b663bfee40f8628,marketing-ideas,1.3.0,5
marketing-psychology,marketing-psychology,marketing-psychology,1.0.0,364,s-6cdbfae3373b80c3,marketing-psychology,1.0.0,64
marktplaats,marktplaats,Marktplaats,0.3.0,1721,s-077ed6c57522883a,marktplaats,1.0.0,0
maven-central-publish,maven-central-publish,maven-central-publish,1.0.0,467,s-42d6457003991f3d,maven-central-publish,1.0.0,0
mcp-builder,imbeasting-mcp-builder,mcp-builder,1.0.0,125,s-1bb114fe39378573,mcp-builder,1.0.0,5
mcp-builder,mcp,mcp-builder,1.0.0,1782,s-1bb114fe39378573,mcp-builder,1.0.0,5
mdnew,mdnew,Mdnew,1.0.0,465,s-b1df0ec163f02334,mdnew,1.0.0,1
meetgeek,meetgeek,MeetGeek,1.0.1,1902,s-21612ebf19550542,meetgeek,1.0.0,0
memory-lancedb-pro,memory-lancedb-pro,memory-lancedb-pro,1.0.0,40,s-116a7affd2d0fd73,memory-lancedb-pro,1.0.0,4
memos,memos,Memos,0.1.1,1548,s-3c48ce8b91fd9d19,memos,0.1.1,0
memos,usememos,Memos,0.1.9,339,s-3c48ce8b91fd9d19,memos,0.1.1,0
menuvision,menuvision,MenuVision,1.0.1,336,s-a9ed53a795a90870,menuvision,1.0.1,0
micro-offer-forge,micro-offer-forge,micro-offer-forge,1.0.1,429,s-102fbca6db7f87e6,micro-offer-forge,1.0.1,0
migma,migma,Migma,1.3.0,484,s-bd28ae582e8e25ed,migma,1.3.0,2
minara,minara,Minara,2.5.2,3125,s-8757892af7fd995c,minara,2.4.12,4
miso,miso,miso,0.1.3,557,s-05a42f1cbab585de,miso,0.1.3,0
mixpost,mixpost,Mixpost,1.0.0,3038,s-7e8d0deaba0f3d1e,mixpost,1.0.0,0
mo-test-1,mo-test-1,mo-test-1,1.0.0,507,s-a62af48dc57c806e,mo-test-1,1.0.0,0
mo-test-2,mo-test-2,mo-test-2,1.0.2,345,s-b725f8f5ad5d70f2,mo-test-2,1.0.2,1
mobilerun,mobile-run,Mobilerun,1.0.1,46,s-0e54e6dd3413ba96,mobilerun,1.0.14,1
modelready,modelready,ModelReady,1.0.0,1101,s-525f8d86d6304689,modelready,1.0.0,0
moldium,moldium,Moldium,1.0.10,444,s-025c458beffde15c,moldium,1.0.10,1
moltlang,moltlang,moltlang,1.0.0,1728,s-d3e2bdeee8f0a6e7,moltlang,1.0.0,1
moltoverflow,moltoverflow,MoltOverflow,1.0.6,2228,s-cb87397ad929d269,moltoverflow,1.0.6,1
moltoverflow,moltoverflow-skill,Moltoverflow,0.1.0,1343,s-cb87397ad929d269,moltoverflow,1.0.6,1
moltpho,moltpho,Moltpho,0.1.5,2020,s-b4acbdad10d851eb,moltpho,1.0.0,0
moltysmind,moltysmind,MoltysMind,1.0.0,1863,s-a211d9a30ab56cda,moltysmind,1.0.0,4
momo,momo,momo,0.1.0,404,s-85932003a8530282,momo,0.1.0,2
moss,moss,Moss,1.0.3,658,s-9c26d7fb00652f24,moss,1.0.0,0
moss,moss-semantic,moss,1.0.0,650,s-9c26d7fb00652f24,moss,1.0.0,0
mrscraper,mrscraper,MrScraper,1.0.4,428,s-8b0963dbc6162c2a,mrscraper,1.0.4,1
ms-todo-sync,ms-todo-sync,ms-todo-sync,1.0.2,1035,s-7620f2f4fc22cc2f,ms-todo-sync,1.0.0,0
mt5-httpapi,mt5-httpapi,mt5-httpapi,1.1.0,919,s-05d391f78ce656a3,mt5-httpapi,1.1.0,1
multi-factor-strategy,multi-factor-strategy,multi-factor-strategy,1.0.0,3301,s-50f3d131fe284e05,multi-factor-strategy,1.0.0,0
multi-search-engine,multi-search-engine-pro,multi-search-engine,2.0.1,107,s-feced9d3f9e309d8,multi-search-engine,1.0.0,34
multi-search-engine,multi-search-engine1,multi-search-engine,1.0.0,196,s-feced9d3f9e309d8,multi-search-engine,1.0.0,34
mycroft,mycroft,mycroft,1.0.2,417,s-c39e533b91fd0ee0,mycroft,1.0.0,0
netlify,netlify,Netlify,1.0.0,2228,s-92e2731fd25e8464,netlify,1.0.0,3
netlify,netlify-api,Netlify,1.0.2,1055,s-92e2731fd25e8464,netlify,1.0.0,3
neverforget,neverforget,Neverforget,1.0.4,531,s-af480837ac5465f4,neverforget,1.0.0,0
newsnow,leeguooooo-newsnow,newsnow,1.0.1,129,s-979d58b6ddef1008,newsnow,1.0.0,0
newsnow,newsnow,newsnow,1.0.0,781,s-979d58b6ddef1008,newsnow,1.0.0,0
ngamux,ngamux,Ngamux,0.1.1,420,s-663e47a08b732e31,ngamux,1.0.0,0
nonopost,nonopost,Nonopost,1.0.1,1945,s-9f33f9ab3e57d954,nonopost,1.0.0,0
notion,nidhov01-notion,Notion,1.0.0,38,s-b32721cfa30d4abe,notion,1.0.0,39
notion,notion,Notion,1.0.0,57022,s-b32721cfa30d4abe,notion,1.0.0,39
notion,notion-2,Notion,0.1.1,147,s-b32721cfa30d4abe,notion,1.0.0,39
notion,notion-api-skill,Notion,1.0.6,7506,s-b32721cfa30d4abe,notion,1.0.0,39
notion,notion-integration,Notion,1.0.0,233,s-b32721cfa30d4abe,notion,1.0.0,39
notion,notion-skill,Notion,1.0.0,6072,s-b32721cfa30d4abe,notion,1.0.0,39
notion,notioncli,Notion,0.1.0,682,s-b32721cfa30d4abe,notion,1.0.0,39
nova,nova,Nova,1.0.2,357,s-6836d7c367a13ac8,nova,1.0.2,3
npkill,npkill,NPkill,1.0.1,1884,s-08eeef8b9c9b1f0e,npkill,1.0.1,1
obsidian,nidhov01-obsidian,Obsidian,1.0.0,46,s-1115ccd936c0c20e,obsidian,1.0.0,25
obsidian,obsidian,Obsidian,1.0.0,63918,s-1115ccd936c0c20e,obsidian,1.0.0,25
officex,officex,OfficeX,1.0.0,306,s-ee6e0694dd1733be,officex,1.0.0,1
omarchy,omarchy,omarchy,0.1.1,568,s-49f9f749a7718089,omarchy,0.1.1,0
onboarding-cro,onboarding-cro,onboarding-cro,1.0.0,118,s-d10227a2307aa961,onboarding-cro,1.3.0,4
ontopo,ontopo,ontopo,1.0.0,382,s-03d2865608b00bb9,ontopo,1.0.0,0
openalexandria,openalexandria,OpenAlexandria,0.2.0,831,s-bfbdea96c216aaa1,openalexandria,0.2.0,1
openbotcity,openbotcity,OpenBotCity,2.0.74,1912,s-aa5f3cb66940dea6,openbotcity,2.0.74,1
opencal,opencal,OpenCal,1.0.0,433,s-1642d92807511dba,opencal,1.0.0,0
openclaw 集中配置管理系统,openclaw-config-center,OpenClaw 集中配置管理系统,1.2.0,180,s-4ecdf53242b788bd,OpenClaw 集中配置管理系统,1.2.0,14
openclaw-migration,openclaw-migration,openclaw-migration,1.0.0,1975,s-e5f81e5f75b0c89e,openclaw-migration,1.2.0,6
openclawmp,openclawmp,OpenClawMP,1.1.2,439,s-65623b82a16d719e,openclawmp,1.1.2,20512
opencode-controller,opencode-controller,Opencode-controller,1.0.0,13855,s-798fd7a96b54823c,opencode-controller,1.0.0,0
opencr-skill,opencr-skill,opencr-skill,0.1.4,573,s-0dd85a2720cc395e,opencr-skill,0.1.4,0
openfleet,openfleet,OpenFleet,1.0.0,502,s-c8b748e4769a07cb,openfleet,1.0.0,0
opengfx,opengfx,OpenGFX,1.3.1,644,s-ce0b599a6a3c5fc1,opengfx,1.3.1,3
openkrill,openkrill,openkrill,1.0.0,1303,s-305e3020514ca9a9,openkrill,1.0.0,0
openocr-skill,openocr-skill,openocr-skill,0.1.6,1218,s-666bba3463de3ad7,openocr-skill,1.0.0,0
opensoulmd,opensoulmd,opensoulmd,1.0.1,469,s-3bc6d786d3aa5e60,opensoulmd,1.0.1,1
openvid,openvid,OpenVid,1.0.7,579,s-23c65fabc85b428c,openvid,1.0.7,1
openviking,openviking,OpenViking,1.0.3,2233,s-6b032eda4df7e3d6,openviking,1.0.0,0
options-strategies,options-strategies,options-strategies,1.0.0,538,s-8e530633d4fdeedf,options-strategies,1.0.0,1
oracle,oracle,Oracle,1.0.1,11417,s-df698de7fe0cdf8a,oracle,1.0.0,0
orchata,orchata,Orchata,1.0.0,559,s-29d4a78905f57526,orchata,1.0.0,0
ordiscan,ordiscan,Ordiscan,0.0.2,384,s-dd5e061e9a65c4a5,ordiscan,0.0.2,0
org-memory,org-memory,org-memory,0.5.3,879,s-02583a6260ce5445,org-memory,0.5.3,0
otta-cli,otta-cli,otta-cli,0.1.1,337,s-c294ac402130f99d,otta-cli,0.1.1,0
p5,p5,p5,0.1.0,453,s-639f26e71ef68795,p5,0.1.0,1
page-cro,page-cro,page-cro,1.0.0,224,s-4336d8fd85baeab8,page-cro,1.3.0,1
paid-ads,paid-ads,paid-ads,1.0.0,146,s-9f7f53a78d0c8daa,paid-ads,1.3.0,3
pancake-skills,pancake-skills,pancake-skills,1.0.0,1498,s-52032b564ba1bbdd,pancake-skills,1.0.0,1
pandora,pandora,pandora,0.1.0,420,s-4068466e2e3570ec,pandora,0.1.0,2
paperpod,paperpod,PaperPod,2.0.3,1177,s-8d1ee52cc245cb8d,paperpod,2.0.3,0
paperzilla,paperzilla,Paperzilla,0.1.0,378,s-426cca325137c8db,paperzilla,0.1.0,0
paywall-upgrade-cro,paywall-upgrade-cro,paywall-upgrade-cro,1.0.0,139,s-75c21b44c8a8318e,paywall-upgrade-cro,1.3.0,2
perplexity,perplexity,Perplexity,1.0.0,12799,s-250354e2f2bad718,perplexity,1.0.0,2
phantombuster,phantombuster,PhantomBuster,1.2.0,1977,s-7dd1a2d93671d026,phantombuster,1.2.0,0
phantombuster,phantombuster-integration,Phantombuster,1.0.0,84,s-7dd1a2d93671d026,phantombuster,1.2.0,0
pharmaziegasse,pharmaziegasse,pharmaziegasse,0.1.0,372,s-0df8661b83fae4d1,pharmaziegasse,1.0.0,0
pidgesms,pidgesms,pidgesms,1.0.0,305,s-2812b980aab9d7b5,pidgesms,1.0.0,0
pilt,pilt,Pilt,1.0.1,274,s-c01030bf6d4b277f,pilt,1.0.1,0
pinchboard,pinchboard,PinchBoard,1.0.0,441,s-f876a741aefa9ec9,pinchboard,1.0.0,0
pinchtab,pinchtab,Pinchtab,0.8.2,968,s-88602199d2d7d845,pinchtab,0.7.6,6
pixeldojo,pixeldojo,PixelDojo,1.3.3,420,s-66b2451caadc0135,pixeldojo,1.3.3,3
planning-with-files,planning-with-files-from-github,planning-with-files,1.0.0,169,s-b866898d23f4993a,planning-with-files,2.10.0,31
pmctl,pmctl,pmctl,1.0.0,398,s-de69b7d58bd2bebe,pmctl,1.0.0,0
pocketlens,pocket-lens,PocketLens,1.0.0,337,s-e3e8c17a1d9c2fab,pocketlens,1.0.0,0
pocketlens,pocketlens,PocketLens,1.0.0,348,s-e3e8c17a1d9c2fab,pocketlens,1.0.0,0
popup-cro,popup-cro,popup-cro,1.0.0,118,s-4c761120590c2440,popup-cro,1.3.0,2
postwall,postwall,Postwall,1.7.0,351,s-8cc4a4e0264e0973,postwall,1.7.0,0
pptx,pptx-2,Pptx,0.1.1,2680,s-98f66ae851a7a953,pptx,0.1.0,0
pref0,pref0,pref0,1.0.1,1210,s-c30e51f10564e7b7,pref0,1.0.1,0
preqstation,preqstation,Preqstation,0.1.8,433,s-59d451d939b15163,preqstation,0.1.8,1
preqstation,preqstation-openclaw,Preqstation,0.1.6,245,s-59d451d939b15163,preqstation,0.1.8,1
priceworld,priceworld,PriceWorld,0.2.0,423,s-77884b2ee91a4f66,priceworld,0.2.0,2
pricing-strategy,cs-pricing-strategy,pricing-strategy,1.0.0,119,s-99366fcedc6490d5,pricing-strategy,1.3.0,5
pricing-strategy,cs-pricing-strategy,pricing-strategy,1.0.0,119,s-e5c14bd4232d5aca,pricing-strategy,1.0.0,1
programmatic-seo,programmatic-seo,programmatic-seo,1.0.0,230,s-ab78c9dbed4e60c8,programmatic-seo,1.3.0,2
publora,publora,Publora,1.2.0,436,s-dc88b5780d491e50,publora,1.2.0,0
pubmed2blog,pubmed2blog,pubmed2blog,1.0.0,478,s-4d695265b53288c6,pubmed2blog,1.0.0,0
pyzotero,pyzotero,Pyzotero,2.2.0,1516,s-fdb03a7daf515878,pyzotero,2.2.0,2
qmd,qmd,Qmd,1.0.0,21310,s-888a07ce95ec3312,qmd,1.0.0,0
qmd,qmd-2,Qmd,0.1.0,19,s-888a07ce95ec3312,qmd,1.0.0,0
qmd,qmd-skill-2,Qmd,0.1.0,1916,s-888a07ce95ec3312,qmd,1.0.0,0
qmd,qmd-skill-3,Qmd,0.1.0,492,s-888a07ce95ec3312,qmd,1.0.0,0
qmd,qmd-skill-4,Qmd,0.1.0,397,s-888a07ce95ec3312,qmd,1.0.0,0
qrcode,qrcode,QRCode,1.0.1,507,s-42b6411801344f0c,qrcode,1.0.1,0
qrcode,qrcode-skills,qrcode,1.0.1,149,s-42b6411801344f0c,qrcode,1.0.1,0
quantumos,quantumos,QuantumOS,0.2.0,464,s-3f3b4a4ce15d88d8,quantumos,1.0.0,0
raiffeisen-elba,raiffeisen-elba,raiffeisen-elba,1.4.4,940,s-915262eff9ff72b6,raiffeisen-elba,1.3.3,2
recipe-finder,recipe-finder,recipe-finder,1.0.0,472,s-ab59ec4956fcb2e4,recipe-finder,1.0.0,2
redacta,redacta,Redacta,1.0.0,370,s-1f030cadef4c64c8,redacta,1.0.0,0
redshift,redshift,Redshift,0.2.0,400,s-c13da4b162a79ddf,redshift,0.2.0,0
referral-program,referral-program,referral-program,1.0.0,120,s-8ccf0f6b24f7b0ba,referral-program,1.3.0,2
remotion,remotion,Remotion,1.0.1,6105,s-023db38714b3ada8,remotion,1.0.0,5
removebg-api,removebg-api,removebg-api,0.1.2,472,s-f19dabb0c48ef05c,removebg-api,0.1.2,0
repomedic,repomedic,RepoMedic,1.0.6,1295,s-4588f894ef30aade,repomedic,1.0.6,0
reporting,reporting,Reporting,1.0.0,825,s-e024eac808d48f36,reporting,1.0.0,0
revolut,revolut,Revolut,1.3.2,859,s-d98b1f370e200c3e,revolut,1.3.2,2
roomsound,roomsound,RoomSound,0.1.5,351,s-2a55653fae6f2034,roomsound,1.0.0,0
roundtable,roundtable,Roundtable,0.4.1,542,s-c57d50a01cffa3d8,roundtable,0.4.1,1
sanctifai,sanctifai,SanctifAI,1.0.0,1481,s-f8e06a7e8b7010e5,sanctifai,1.0.0,0
satgate,satgate,SatGate,0.1.2,593,s-0f1184ad8da05972,satgate,0.1.2,4
say,say,say,1.0.2,456,s-43e4b6811e90507a,say,1.0.2,3
scamper,scamper,Scamper,1.0.0,833,s-63c069ee13e02f3f,scamper,1.0.0,0
schema-markup,cs-schema-markup,schema-markup,1.0.0,116,s-49daecb28b2ca978,schema-markup,1.3.0,2
scrapling,scrapling,Scrapling,1.0.8,1438,s-6a3c61eba9c10aaf,scrapling,1.0.0,33
scrapling,scrapling-extract,Scrapling,1.0.3,192,s-6a3c61eba9c10aaf,scrapling,1.0.0,33
screenshot,screenshot,Screenshot,1.0.1,7395,s-c2a8dba7a25ca5a0,screenshot,1.0.1,6
searchbar,searchbar,SearchBar,1.0.0,1263,s-8879efb5e05cb52e,searchbar,1.0.0,0
secretcodex,secretcodex,SecretCodex,1.0.0,819,s-15ac2e6cb9389f9e,secretcodex,1.0.0,1
secucheck,secucheck,Secucheck,2.8.0,2881,s-85a7af899da2fc71,secucheck,2.8.0,13
self-improving-agent,cs-self-improving-agent,self-improving-agent,1.0.0,103,s-15870409dd64e5cc,self-improving-agent,1.0.11,653
self-improving-agent,self-improving-agent,self-improving-agent,3.0.6,297695,s-15870409dd64e5cc,self-improving-agent,1.0.11,653
self-improving-agent,self-improving-agent-next,self-improving-agent,2.0.1,193,s-15870409dd64e5cc,self-improving-agent,1.0.11,653
sentry-ai,sentry-ai,sentry-ai,1.0.0,269,s-3bd0c99c21c90cd9,sentry-ai,1.0.0,3
seo-audit,cs-seo-audit,seo-audit,1.0.0,136,s-9953ce038006d96e,seo-audit,1.3.0,4
sev-attestation,sev-attestation,sev-attestation,1.0.2,1583,s-16ea7480b5726c49,sev-attestation,1.0.2,2
sg-property-scraper,sg-property-scraper,sg-property-scraper,1.0.1,439,s-b88876d5523164e1,sg-property-scraper,1.0.1,0
shellgames,shellgames,ShellGames,1.0.4,577,s-971a65965b3769c5,shellgames,1.0.4,1
signup-flow-cro,signup-flow-cro,signup-flow-cro,1.0.0,119,s-23b518aea7baf5d9,signup-flow-cro,1.3.0,2
simplemem,simplemem,Simplemem,1.0.1,391,s-639d97fd2e6c4b85,simplemem,1.0.1,3
simplify-and-harden,simplify-and-harden,simplify-and-harden,1.0.1,786,s-f7adf4b6acb1d509,simplify-and-harden,1.0.1,0
site-architecture,site-architecture,site-architecture,1.0.0,103,s-49ff02b33f773945,site-architecture,1.3.0,2
siyuan-task-skill,siyuan-task-skill,siyuan-task-skill,1.0.0,800,s-eb979f32ea56617e,siyuan-task-skill,1.0.0,1
skill-creator,lbbniu-skill-creator,skill-creator,1.0.1,257,s-ea5d979d2b661544,skill-creator,0.1.0,98
skill-creator,skill-creator-latest,skill-creator,2.0.0,128,s-ea5d979d2b661544,skill-creator,0.1.0,98
skill-update-delta-monitor,skill-update-delta-monitor,skill-update-delta-monitor,1.0.0,311,s-daca6be2e9a60183,skill-update-delta-monitor,1.0.0,0
skillnet,skillnet,skillnet,2.0.0,602,s-ef47f48fd3eac4c6,skillnet,2.0.0,0
skillstore,glitch-skillstore,Skillstore,2026.2.17,458,s-98a47d9f492f66c0,skillstore,1.0.0,0
skillstore,skillstore,Skillstore,1.0.0,436,s-98a47d9f492f66c0,skillstore,1.0.0,0
slack,slack,Slack,1.0.0,27953,s-113f7830642be924,slack,1.0.0,5
slack,slack-api,Slack,1.0.8,5334,s-113f7830642be924,slack,1.0.0,5
slack,slack-integration,Slack,1.0.5,219,s-113f7830642be924,slack,1.0.0,5
slashbot,slashbot,Slashbot,1.1.0,407,s-a4a95b0cb9e042f4,slashbot,1.1.0,0
snaprender,snaprender,SnapRender,1.3.2,565,s-489c4f7d1a2a9dd0,snaprender,1.0.0,0
social-content,cs-social-content,social-content,1.0.0,210,s-5a3df59ba599de7f,social-content,1.3.0,9
social-media-manager,cs-social-media-manager,social-media-manager,1.0.0,152,s-a9907bc52fb1e01d,social-media-manager,1.1.0,17
solana-dev-rent-free,solana-dev-rent-free,solana-dev-rent-free,1.0.8,284,s-e83ef946a3f2ea1f,solana-dev-rent-free,1.0.8,3
solana-rent-free-dev,solana-rent-free-dev,solana-rent-free-dev,1.0.6,289,s-4e60b6a40fa96517,solana-rent-free-dev,1.0.6,1
sonic-build,sonic-build,sonic-build,1.1.0,507,s-367521b15f3e9ca4,sonic-build,1.1.0,0
sonoscli,sonoscli,Sonoscli,1.0.0,59723,s-40aedcf2f7dd00e8,sonoscli,1.0.0,5
soul-audit,soul-audit,soul-audit,1.1.1,298,s-5dc5e2676b8880f7,soul-audit,1.1.0,1
soulforge,soul-forge,SoulForge,1.0.0,403,s-2ebb4337ca5af5ca,soulforge,1.4.1,2
soulforge,soulforge,Soulforge,1.4.1,674,s-2ebb4337ca5af5ca,soulforge,1.4.1,2
soulkeeper,soulkeeper,SoulKeeper,1.0.0,245,s-26ec675d41a2ed90,soulkeeper,1.0.0,1
spacex,spacex,Spacex,1.0.0,1075,s-87dd8decbe100eb3,spacex,1.0.0,1
specvibe,specvibe,SpecVibe,1.0.0,222,s-d47751c8c70d69c6,specvibe,1.0.0,4
spotlight,spotlight,Spotlight,2.0.0,370,s-74fe4ecaaa6f9b50,spotlight,1.0.0,0
startuppan,startuppan,StartupPan,1.0.1,390,s-2438dd2846f84003,startuppan,1.0.1,0
starwars,starwars,Starwars,1.0.0,1025,s-baa38526187f10fb,starwars,1.0.0,0
stratos-storage,stratos-storage,stratos-storage,1.0.0,494,s-e9c0e19979541a6d,stratos-storage,1.0.0,1
subwayskill,subwayskill,SubwaySkill,1.0.0,414,s-f5576e561d289797,subwayskill,1.0.0,2
summarize,smart-summarize,Summarize,1.0.0,214,s-4d97cb5557189730,summarize,1.0.0,139
summarize,summarize,Summarize,1.0.0,169713,s-4d97cb5557189730,summarize,1.0.0,139
sunday,sunday,Sunday,1.0.1,529,s-67eec3ff4b334c96,sunday,1.0.1,0
supabase,supabase,Supabase,1.0.0,6087,s-99a261e3774b04c8,supabase,1.0.0,7
supaskills,supaskills,SupaSkills,1.1.0,356,s-c4b6976f4af84f02,supaskills,1.0.0,0
supermarket,supermarket,Supermarket,1.1.0,333,s-c1a9fe4b1b557cfc,supermarket,1.1.0,0
swamp,swamp,swamp,0.2.0,399,s-8f4f477e2e1b87a1,swamp,0.2.0,2
swiftfindrefs,swiftfindrefs,swiftfindrefs,1.0.5,1639,s-876a83e00eb43e0d,swiftfindrefs,1.0.5,2
talkspresso,talkspresso,Talkspresso,1.0.0,400,s-00f46be68dbfcbad,talkspresso,1.0.0,0
taskwarrior,taskwarrior,taskwarrior,0.1.3,502,s-dfe4902cf763be14,taskwarrior,0.1.3,1
tavily,tavily-tool,Tavily,0.1.1,4569,s-08bb6f300b49cfd8,tavily,1.0.0,64
tavily,tavily-web,Tavily,0.0.3,195,s-08bb6f300b49cfd8,tavily,1.0.0,64
tavily,tavily-websearch-old,Tavily,4.0.2,51,s-08bb6f300b49cfd8,tavily,1.0.0,64
tavily-search,search-with-tavily,tavily-search,1.0.0,935,s-1f8d67ea178b19c6,tavily-search,1.0.0,256
tavily-search,search-with-tavily,tavily-search,1.0.0,935,s-c125eacde20b939a,tavily-search,1.0.0,1
testskillx,testskillx,testSkillX,1.0.0,1581,s-55e1443247931f67,testskillx,1.0.0,0
tick-md,tick-md,tick-md,1.3.3,1228,s-2e7ed75420fd064f,tick-md,1.0.0,0
timecamp,timecamp,TimeCamp,1.1.0,482,s-65743c053fa7de70,timecamp,1.1.0,0
timely,timely,timely,1.0.0,442,s-18481f573ed8c29e,timely,1.0.0,0
timestamp,timestamp,Timestamp,1.0.0,468,s-6098d649382f48d0,timestamp,1.0.0,0
titleclash,titleclash,TitleClash,2.32.0,924,s-88e43d8aa9c8d129,titleclash,1.0.0,0
tmux,tmux,Tmux,1.0.0,16560,s-5ea8040abf128820,tmux,1.0.0,0
tmux,tmux-controller,Tmux,1.0.0,261,s-5ea8040abf128820,tmux,1.0.0,0
trackyard,trackyard,Trackyard,1.0.2,436,s-4e0b70a971d643b2,trackyard,1.0.0,0
transmissions,transmissions,Transmissions,1.0.0,384,s-4e61ecc5c769801c,transmissions,1.0.0,1
travel-cog,travel-cog,travel-cog,1.0.0,481,s-d18325f3a1983415,travel-cog,1.0.0,0
